rda_id;rda_code_duree_alloc;rda_lib_duree_alloc;rme_id;rda_date_debut_effet;rda_date_fin_effet
1;0;NON;;01/01/2017;01/01/2017
2;1;MOINS DE 6 MOIS;;01/01/2017;01/01/2017
3;2;DE 6 A 11 MOIS;;01/01/2017;01/01/2017
4;3;DE 12 à 23 MOIS;;01/01/2017;01/01/2017
5;4;24 MOIS ET PLUS;;01/01/2017;01/01/2017
6;0;NON;1;01/01/2017;
7;1;MOINS DE 6 MOIS;1;01/01/2017;
8;2;DE 6 A 11 MOIS;1;01/01/2017;
9;3;DE 12 à 23 MOIS;1;01/01/2017;
10;4;24 MOIS ET PLUS;1;01/01/2017;
11;0;NON;2;01/01/2017;
12;1;MOINS DE 6 MOIS;2;01/01/2017;
13;2;DE 6 A 11 MOIS;2;01/01/2017;
14;3;DE 12 à 23 MOIS;2;01/01/2017;
15;4;24 MOIS ET PLUS;2;01/01/2017;
16;0;NON;3;01/01/2017;
17;1;MOINS DE 6 MOIS;3;01/01/2017;
18;2;DE 6 A 11 MOIS;3;01/01/2017;
19;3;DE 12 à 23 MOIS;3;01/01/2017;
20;4;24 MOIS ET PLUS;3;01/01/2017;
21;0;NON;4;01/01/2017;
22;1;MOINS DE 6 MOIS;4;01/01/2017;
23;2;DE 6 A 11 MOIS;4;01/01/2017;
24;3;DE 12 à 23 MOIS;4;01/01/2017;
25;4;24 MOIS ET PLUS;4;01/01/2017;
26;0;NON;5;01/01/2017;
27;1;MOINS DE 6 MOIS;5;01/01/2017;
28;2;DE 6 A 11 MOIS;5;01/01/2017;
29;3;DE 12 à 23 MOIS;5;01/01/2017;
30;4;24 MOIS ET PLUS;5;01/01/2017;
31;0;NON;6;01/01/2017;
32;1;MOINS DE 6 MOIS;6;01/01/2017;
33;2;DE 6 A 11 MOIS;6;01/01/2017;
34;3;DE 12 à 23 MOIS;6;01/01/2017;
35;4;24 MOIS ET PLUS;6;01/01/2017;
36;0;NON;7;01/01/2017;
37;1;MOINS DE 6 MOIS;7;01/01/2017;
38;2;DE 6 A 11 MOIS;7;01/01/2017;
39;3;DE 12 à 23 MOIS;7;01/01/2017;
40;4;24 MOIS ET PLUS;7;01/01/2017;
