codetypevoie;libelle;datedebut;datefin
AER;Aérodrome;01/01/2015;
AGL;Agglomération;01/01/2015;
AIRE;Aire;01/01/2015;
ALL;Allee;01/01/2006;
ACH;Ancien chemin;01/01/2006;
ART;Ancienne route;01/01/2006;
AV;Avenue;01/01/2006;
BEGI;Beguinage;01/01/2006;
BD;Boulevard;01/01/2006;
BRG;Bourg;01/01/2015;
CPG;Camping;01/01/2015;
CAR;Carrefour;01/01/2006;
CTRE;Centre;01/01/2006;
CCAL;Centre commercial;01/01/2006;
CHT;Chateau;01/01/2006;
CHS;Chaussee;01/01/2006;
CHEM;Chemin;01/01/2006;
CHV;Chemin vicinal;01/01/2006;
CITE;Cité;01/01/2014;
CLOS;Clos;01/01/2015;
CTR;Contour;01/01/2015;
COR;Corniche;01/01/2015;
COTE;Coteaux;01/01/2006;
COUR;Cour;01/01/2015;
CRS;Cours;01/01/2006;
DSC;Descente;01/01/2015;
DOM;Domaine;01/01/2006;
ECL;Ecluse;01/01/2015;
ESC;Escalier;01/01/2015;
ESPA;Espace;01/01/2015;
ESP;Esplanade;01/01/2006;
FG;Faubourg;01/01/2006;
FG;Faubourg;01/01/2006;
FRM;Ferme;01/01/2015;
FON;Fontaine;01/01/2015;
GAL;Galerie;01/01/2015;
GARE;Gare;01/01/2015;
GBD;Grand boulevard;01/01/2015;
GPL;Grande place;01/01/2015;
GR;Grande rue;01/01/2015;
GRI;Grille;01/01/2006;
HAM;Hameau;01/01/2006;
IMM;Immeuble(s);01/01/2006;
IMP;Impasse;01/01/2006;
JARD;Jardin;01/01/2015;
LD;Lieu-dit;01/01/2006;
LOT;Lotissement;01/01/2006;
MAIL;Mail;01/10/2012;
MAIS;Maison;01/01/2015;
MAS;Mas;01/01/2015;
MTE;Montee;01/01/2006;
PARC;Parc;01/01/2015;
PRV;Parvis;01/01/2006;
PAS;Passage;01/01/2006;
PLE;Passerelle;01/01/2015;
PCH;Petit chemin;01/01/2015;
PRT;Petite route;01/01/2015;
PTR;Petite rue;01/01/2015;
PL;Place;01/01/2006;
PTTE;Placette;01/01/2015;
PLN;Plaine;01/01/2017;
PLAN;Plan;01/01/2015;
PLT;Plateau;01/01/2017;
PONT;Pont;01/01/2015;
PORT;Port;01/01/2015;
PROM;Promenade;01/01/2006;
QUAI;Quai;01/01/2006;
QUAR;Quartier;01/01/2006;
RPE;Rampe;01/01/2015;
REMP;Rempart;01/01/2015;
RES;Residence;01/01/2006;
ROC;Rocade;01/01/2017;
RPT;Rond-point;01/01/2006;
RTD;Rotonde;01/01/2006;
RTE;Route;01/01/2006;
RUE;Rue;01/01/2006;
RLE;Ruelle;01/01/2006;
SEN;Sente;01/01/2015;
SENT;Sentier;01/01/2006;
SQ;Square;01/01/2006;
TPL;Terre plein;01/01/2015;
TRAV;Traverse;01/01/2006;
VEN;Venelle;01/01/2006;
VTE;Vieille route;01/01/2006;
VCHE;Vieux chemin;01/01/2015;
VILL;Villa;01/10/2012;
VLGE;Village;01/01/2006;
VOIE;Voie;01/10/2012;
ZONE;Zone;01/01/2014;
ZA;Zone d'activite;01/01/2006;
ZAC;Zone d'amenagement concerte;01/01/2006;
ZAD;Zone d'amenagement differe;01/01/2006;
ZI;Zone industrielle;01/01/2006;
ZUP;Zone urbanisation prio;01/01/2006;
